NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMMJJ;RR;QRR;TN;QTN;HTN;QHTN;TX;QTX;HTX;QHTX;TM;QTM;TNTXM;QTNTXM;TAMPLI;QTAMPLI;TNSOL;QTNSOL;TN50;QTN50;DG;QDG;FFM;QFFM;FF2M;QFF2M;FXY;QFXY;DXY;QDXY;HXY;QHXY;FXI;QFXI;DXI;QDXI;HXI;QHXI;FXI2;QFXI2;DXI2;QDXI2;HXI2;QHXI2;FXI3S;QFXI3S;DXI3S;QDXI3S;HXI3S;QHXI3S
 09023800;ASCOU-DOUBLE;42.721167;1.862000;1104;20230925;0.0;1;5.5;1;;;27.0;1;;;;;16.3;1;21.5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 09023800;ASCOU-DOUBLE;42.721167;1.862000;1104;20230926;0.0;1;5.0;1;;;26.5;1;;;;;15.8;1;21.5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 09023800;ASCOU-DOUBLE;42.721167;1.862000;1104;20230927;0.0;1;4.5;1;;;29.5;1;;;;;17.0;1;25.0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 09023800;ASCOU-DOUBLE;42.721167;1.862000;1104;20230928;0.0;1;6.0;1;;;29.5;1;;;;;17.8;1;23.5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 09023800;ASCOU-DOUBLE;42.721167;1.862000;1104;20230929;0.0;1;8.0;1;;;27.5;1;;;;;17.8;1;19.5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 09023800;ASCOU-DOUBLE;42.721167;1.862000;1104;20230930;0.0;1;8.0;1;;;28.0;1;;;;;18.0;1;20.0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 09023800;ASCOU-DOUBLE;42.721167;1.862000;1104;20231001;0.0;1;7.5;1;;;31.5;1;;;;;19.5;1;24.0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 09023800;ASCOU-DOUBLE;42.721167;1.862000;1104;20231002;0.0;1;7.5;1;;;32.0;1;;;;;19.8;1;24.5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 09023800;ASCOU-DOUBLE;42.721167;1.862000;1104;20231003;0.0;1;6.5;1;;;20.5;1;;;;;13.5;1;14.0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 09023800;ASCOU-DOUBLE;42.721167;1.862000;1104;20231004;0.0;1;12.0;1;;;23.5;1;;;;;17.8;1;11.5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 09023800;ASCOU-DOUBLE;42.721167;1.862000;1104;20231005;0.0;1;7.0;1;;;27.0;1;;;;;17.0;1;20.0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 09023800;ASCOU-DOUBLE;42.721167;1.862000;1104;20231006;0.0;1;6.5;1;;;27.0;1;;;;;16.8;1;20.5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 09023800;ASCOU-DOUBLE;42.721167;1.862000;1104;20231007;0.0;1;6.0;1;;;28.5;1;;;;;17.3;1;22.5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 09023800;ASCOU-DOUBLE;42.721167;1.862000;1104;20231008;0.0;1;5.0;1;;;29.0;1;;;;;17.0;1;24.0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 09023800;ASCOU-DOUBLE;42.721167;1.862000;1104;20231009;0.0;1;6.5;1;;;29.0;1;;;;;17.8;1;22.5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 09023800;ASCOU-DOUBLE;42.721167;1.862000;1104;20231010;0.0;1;6.0;1;;;28.5;1;;;;;17.3;1;22.5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 09023800;ASCOU-DOUBLE;42.721167;1.862000;1104;20231011;0.0;1;6.0;1;;;28.0;1;;;;;17.0;1;22.0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 09023800;ASCOU-DOUBLE;42.721167;1.862000;1104;20231012;0.0;1;6.5;1;;;27.5;1;;;;;17.0;1;21.0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 09023800;ASCOU-DOUBLE;42.721167;1.862000;1104;20231013;0.0;1;6.0;1;;;28.5;1;;;;;17.3;1;22.5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 09023800;ASCOU-DOUBLE;42.721167;1.862000;1104;20231014;2.2;1;10.0;1;;;21.0;1;;;;;15.5;1;11.0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 09023800;ASCOU-DOUBLE;42.721167;1.862000;1104;20231015;0.0;1;10.0;1;;;15.5;1;;;;;12.8;1;5.5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 09023800;ASCOU-DOUBLE;42.721167;1.862000;1104;20231016;0.0;1;7.0;1;;;19.5;1;;;;;13.3;1;12.5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
